"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0022400061","7","1628369","Jayson Tatum","1610612738","Boston Celtics","1","11","48","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","141","228","1","1","20241022","BOS","NYK"
"Shot Chart Detail","0022400061","9","1628384","OG Anunoby","1610612752","New York Knicks","1","11","27","Made Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","36","46","1","1","20241022","BOS","NYK"
"Shot Chart Detail","0022400061","11","1628369","Jayson Tatum","1610612738","Boston Celtics","1","11","16","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-83","242","1","0","20241022","BOS","NYK"
"Shot Chart Detail","0022400061","13","1628973","Jalen Brunson","1610612752","New York Knicks","1","11","9","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-31","8","1","1","20241022","BOS","NYK"
"Shot Chart Detail","0022400061","14","1628401","Derrick White","1610612738","Boston Celtics","1","10","54","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","10","49","1","1","20241022","BOS","NYK"
"Shot Chart Detail","0022400061","16","1628973","Jalen Brunson","1610612752","New York Knicks","1","10","35","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-134","4","1","1","20241022","BOS","NYK"
"Shot Chart Detail","0022400061","17","201143","Al Horford","1610612738","Boston Celtics","1","10","21","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","170","183","1","1","20241022","BOS","NYK"
"Shot Chart Detail","0022400061","19","1626157","Karl-Anthony Towns","1610612752","New York Knicks","1","9","53","Made Shot","Turnaround Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-114","0","1","1","20241022","BOS","NYK"
"Shot Chart Detail","0022400061","20","1627759","Jaylen Brown","1610612738","Boston Celtics","1","9","42","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","99","180","1","0","20241022","BOS","NYK"
"Shot Chart Detail","0022400061","22","1628401","Derrick White","1610612738","Boston Celtics","1","9","34","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-227","13","1","1","20241022","BOS","NYK"
